127.0.0.1 - - [05/Aug/2024:11:40:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:40:59 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:40:59 +0530] "GET /AlumnieventmanagementApplication/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:15 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:15 +0530] "GET /AlumnieventmanagementApplication/CSS/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:18 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:18 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:18 +0530] "GET /AlumnieventmanagementApplication/CSS/Alumni.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:46 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:41:46 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:19 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:29 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:33 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:33 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:52 +0530] "GET /AlumnieventmanagementApplication/EventMaster.jsp HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:52 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:59 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:44:59 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:22 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:24 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:26 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:26 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:30 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:30 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:42 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:53 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:54 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:46:54 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:47:00 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:47:00 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:47:33 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:47:33 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:52:56 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:52:56 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:53:07 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:53:07 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:53:14 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [05/Aug/2024:11:53:14 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:00:52 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:03 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:05 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:06 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:07 +0530] "GET /AlumnieventmanagementApplication/Eventmaster.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:21 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:21 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:23 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:28 +0530] "GET /AlumnieventmanagementApplication/Eventmaster.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:01:58 +0530] "GET /AlumnieventmanagementApplication/index.jsp HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:02:00 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:02:00 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:02:01 +0530] "GET /AlumnieventmanagementApplication/Eventmaster.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:13 +0530] "GET /AlumnieventmanagementApplication/login.jsp HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:23 +0530] "GET /AlumnieventmanagementApplication/valid?Username=Shreyash&Password=Shreyash%40123&Logintype=Student&sub=Login HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:24 +0530] "GET /AlumnieventmanagementApplication/Alumnimaster.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:25 +0530] "GET /AlumnieventmanagementApplication/styles.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:26 +0530] "GET /AlumnieventmanagementApplication/Eventmaster.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [05/Aug/2024:12:03:56 +0530] "GET /AlumnieventmanagementApplication/Eventmaster.jsp HTTP/1.1" 404 745
